,Ticker,Mentions,Negative Average,Positive Average,Overall Sentiment,Top 20 Tweets,20 Quality Tweets
0,$GME,287,0.5383937007874016,0.4729336734693877,Negative,"['omg a eth sale for gme pokey someone just scored a nice x on their purchase just a few hours ago amazing'
 'im so crazy blessed you are all so amazing had the best hours of sales since i jumped into nfts last august plus this gme pokey sale at eth holy shit thats a x return to the buyer in hours'
 'if you bought gme pokey and are not in the discord with a verified role you will miss out on your chance to score our first giveaway you have been warned'
 'the sweep continues eth sale for gme pokey unreal'
 'if you own a gme pokey today you will get a chance to get this robopet airdropped to you this is just a beginning of amazing content drops for your pokey and for all the pokey holders in general'
 'details on this soon in discord you must be in discord in order to enter the raffle must own gme pokey you will have hours to enter gl'
 'imagine announcing dividend  stock split and instead of shorts closing out they double down of the m volume m was short volume  of atsdark pool volume was short volume the only explanation is these shorts are too deep in doodoo gme'
 'seeing investors interacting in huge masses on rplace and being way stronger than wallstreetbets or any other investing community makes me even more bullish on gme than some positive company news wondering when analysts are pricing in this fanatic investor group'
 'happy special dividend sunday gme oops moass'
 'how it must feel to be short gme with the upcoming potential dividend split'
 ' last time i checked on friday gme'
 'the green line saga has been such an unexpected beautiful little digital journeyand the best part thousands of ppl around the are finding it tracking back to its source and diving into the gme with usread through these comments'
 'gamestop gme'
 'happy sundayexcept those who claim is a distraction from gme'
 'gm unbothered moisturized happy in my lane focused flourishinggme'
 'this weekend has been taught me to be a value investor taught me to be an activist investorim invested in for reasons i see deep fucking value and i see a problem with our marketsgme'
 'if all of my gme friends just got high as fuck amp listened to this conversationmy life would get a lot easier it guysif i had to choose a single podcast episode that changed my life more than any other this is the one simply mindblowing'
 'is wall street lending gme shares  naked short selling and gamestop sh via'
 'gme tile' 'my favorite  the bright dawn by in form gme']","['gamestop is surging again on first stock split in years gme'
 'gme  fomo timefor the detailed analysis check links in bio'
 'i love all our stock but at this point its clear gme taking us there'
 'gme tomorrow is going to be'
 'gme one of the most mentioned on chan over the last hoursvia'
 'gme losing watchers daily' 'gme digits no less'
 'im thankful knowing i have shares in computershare anxious to see where things go from here for gamestopgme'
 'got luck paying a cash equivalent on a  split broker maybe thats why cohen is leaving that as an option gme'
 'get in on gme before the for stock dividend gets paid this summer'
 'gme gtgtgtgtgtgtgt nfa' 'gmegm everyboday'
 'cant stop wont stophmmmm lol gme' 'gamestop gme'
 'what some people can think upgme gamestop stock split a net positive for the company'
 'gme blue chip stock' 'gme monday premarket we boom'
 'gme perfect location huge trade route bottom it could cover nm tx az colorado amp utah gone replaced easy transition pizza donut plaza paseo del norte competition'
 'how many shares does currently havegme' 'soon gme']"
1,$TSLA,1425,0.6103571428571428,0.5402626262626262,Negative,"['hey trying to model out the supercharger network value it seems you work a  gross margin on the energy cost is this across the network or it varies by location  thanks tsla'
 'ive never had a position but anyone thinking about tsla should visit the sf bay area sometimes feels as if every other car is a tesla if they achieve such market share worldwide it may indeed become the largest company in the world by revenue profits market cap etc'
 'the more evs i see the more i value the supercharger network the long term revenue potential globally seems limitless tsla'
 'tsla test drive for teslas model y take a mile road trip absolutely  barrons'
 'already made a volted meme x x tsla probably nothing'
 'a journey through the tsla gigafactory in germany'
 'tesla unable to restart shanghai production on monday amid virus outbreak  tsla'
 'we need a solution so apartment owners have the incentive to put in ev chargers and have a plan to incentivize ev charging options la city council elections are coming up in june and we can make change tsla'
 'tsla spring break family road trip highlight story to follow'
 'crazy eddie memoirs i can changed a single word in the footnotes received to earned that enabled me to inflate warnings by  milliontsla'
 'tesla just hit a new delivery record but chinas looks set to become the new ev king perhaps as early as q byd sales topped in march and should show rapid sequential growth from here big caveat byd sales are evs  plugin hybrids tsla'
 'someone invited my wife to nft art for women event last night so she asked what it was i said dont go its no cyber rodeo tsla'
 'tesla tsla delivered more than vehicles between januarymarch to almost double last years quarterly numbers'
 'let me see your tsla thoughts  it seems to be ready to make a move up or down here after the consolidation'
 'tsla looks tight and ready to make a move here expecting downwards thoughts on it'
 'the tesla advantage comes from the tsla supercharging network no other car company is even close and the public charging system is garbage'
 'more people buy a tesla every year a lot more tsla'
 'piper sandler analyst alex potter reiterated his tsla rating of overweight buy following q deliveries one interesting stat tsla production per day increased to day in q from day in q despite more downtime pipers tsla pt remains '
 'tesla sales growth is off the charts tsla'
 'once you research amp what hes truly about amp how is going about the transition to sustainable energy you will end up selling out of all your index etfs amp go all in on tsla if u did not then u did not do enough research']","['who is paying  a month for gas how about a hundred twice a week tsla'
 'tsla unable to restart shanghai production on monday reports'
 'is it going to convince you to put all that k into tsla'
 'tesla named it models s x y and reports a  increase in deliveries it is al a bit too coincidental tsla'
 'tesla plaid is the most advanced and efficient energy storage technology in the world it is the future of energy and the key to a sustainable future tsla'
 'is this true call xi a pedo tsla'
 'this is a great summary its concise informative and easy to read tsla'
 'do you think tsla will do another stock split soon'
 'portugal is the best option for due the sun all the year tsla'
 'for single oem perhaps but mobileye too easily dismissed as more  more oems join datasharing program commanding adas market share open architecture  eyeq powerfootprint advantages could lead to convergence as alternative  massive install base far in excess of tsla'
 'tsla option to look at for monday  call for friday april   roughly thousand dollars learn more on stockorbit link on profile'
 'i need to report a murder  vic is obese billionaire with a drug and twitter problem tsla'
 'they dont love crypto they love their bags which cardano threatens as i mentioned previously i havent seen so much hate towards an asset since tsla got bombarded by short sellers cnbc and oil companies between to ish but we all know how that turned out'
 'i am in the uk and keep seeing more and more of them here much more noticeable in the last few months tsla'
 'suggest vaping instead of fatties works much better tsla'
 'tsla q vehicle production and delivery numbers'
 'tsla lead is staggeringthis stock will be a  trillion dollar company in yrs when energy sector and tesla bot will be a norm it is not an auto company it is a tech company which everyone on that list is as well'
 'tsla upcoming article why tesla shares have fallen today'
 'tsla the world doesnt just want tesla to succeed the world needs tesla to succeed'
 'tsla someone hit me with electric cars require mining way too much minerals this weekend he did not understand the scale of the worldour civilization digs up transports and burns almost m barrels of oil every day thats million tons a day or billion tons a year']"
2,$TWTR,29,0.6047045454545456,0.49413953488372087,Negative,"['twtrlong above   targetshort below  bounce off  historic recovery to  w rejections and once confirmed breakout nearing descending triangle breakout weekly macd cross  amp  ema flip rsi highly oversold   curling up'
 'cpms in q were about  for facebook includes ig fan etc vs about  in the year ago period twitter cpms wereabout  vs  in the year ago periodstifel checks from a director of digital at an ad agency with bn in billings broad customer base twtr'
 'twtr perky but d is acting as resistance right now'
 'twtr has been the most useful funnel barnone for growing my newsletter so many people with similar stories yet the company still struggles to successfully monetize the usefulness of this platform'
 'hungary vote tests orbans friendship with putinand its need for russian energy twtr'
 'twtrearnings runup playfalling wedge amp double bottom on the dailydark pool support and heavy bullish flow via for the  c'
 'this weekend spaces gt podcaststop quality guests great moderators specialists sharing knowledge and answering questions real timereminds me why im keeping my twtr bag'
 'done but as i was typing in your name a multiheaded hydra of impersonators appeared below i have had a few in the past few days im so tired of this beginning to wonder if twtr allows this to show higher maus for their quarterly earnings reports'
 'happening now coming uprecordedgreat job this was much needednow create a section where you can find all the live video throughout twitterkeep the small features coming i really do believe coming years is where twtr really flexeslets see'
 'twtr gonna have a week'
 'sean but you did se they changed the spaces button to a super cool looking microphone right twtr'
 'yessir i believe twtr is showing some activity as well as we enter tech er szn'
 'twtr was beaten down bad lol but if it can hold above  it could see  again only m shares and m free float so can move a bit with vol im looking at c  c  with a chance to see s again'
 'short twtr'
 'sometimes i think if i was very successful i probably wouldnt be posting on twtr so muchthen shows up on my tl and pulls me right back in'
 'nothing more bullish for twtr than dozens of people yelling to you on twitter about how awful twitter is'
 'bro gtfo with your bs you ruined twtr  under your leadership you think you would have resisted government and leftists pressures as an ngo not as a ccorp with bn of revenue per quarter please go try to rehab your image elsewhere'
 'twtr waiting for buy signal on twtr register for day trial access at '
 'twtr liking it here for another try at its previous highs'
 'totally on brand for twtr']","['twtr was beaten down bad lol but if it can hold above  it could see  again only m shares and m free float so can move a bit with vol im looking at c  c  with a chance to see s again'
 'done but as i was typing in your name a multiheaded hydra of impersonators appeared below i have had a few in the past few days im so tired of this beginning to wonder if twtr allows this to show higher maus for their quarterly earnings reports'
 'twtrearnings runup playfalling wedge amp double bottom on the dailydark pool support and heavy bullish flow via for the  c'
 'twtr waiting for buy signal on twtr register for day trial access at '
 'twitter inc current quarter revenue growth yoy of  ranked out of companies in our database twtr'
 'pretty sure twitter regulates or throttles my tweets in hopes to switch me over to a professional account or for my prior misgivings ill delete this account before that will ever happen amp purposely rise again twtr'
 'twtr option to look at for monday  call for friday april   roughly thousand dollars learn more on stockorbit link on profile'
 'nothing more bullish for twtr than dozens of people yelling to you on twitter about how awful twitter is'
 'happening now coming uprecordedgreat job this was much needednow create a section where you can find all the live video throughout twitterkeep the small features coming i really do believe coming years is where twtr really flexeslets see'
 'cpms in q were about  for facebook includes ig fan etc vs about  in the year ago period twitter cpms wereabout  vs  in the year ago periodstifel checks from a director of digital at an ad agency with bn in billings broad customer base twtr'
 'ive been wanting to reposition for twtr for may deff think we see a shift in tide in some of these names'
 'hungary vote tests orbans friendship with putinand its need for russian energy twtr'
 'twtr for a limited time we are opening our trading chatroom to the public'
 'totally on brand for twtr'
 'yessir i believe twtr is showing some activity as well as we enter tech er szn'
 'twtr gonna have a week'
 'twtr for a limited time we are opening our trading chatroom to the public'
 'bro gtfo with your bs you ruined twtr  under your leadership you think you would have resisted government and leftists pressures as an ngo not as a ccorp with bn of revenue per quarter please go try to rehab your image elsewhere'
 'this weekend spaces gt podcaststop quality guests great moderators specialists sharing knowledge and answering questions real timereminds me why im keeping my twtr bag'
 'sean but you did se they changed the spaces button to a super cool looking microphone right twtr']"
3,$AMC,884,0.5646113074204947,0.5059880239520959,Negative,"['my reporting is per accurate on amc and s new plans i will say this about adam i have covered all the top ceos in may career i have never seen anyone more resourceful in the face of an existential threat to his company'
 'not sure why the amc apes cant grasp this simple financial concept'
 'amc had to share it too good not to'
 'hell yeah chris rock at amc recently'
 'amc this is why im seeing monday tuesday and squeeze wed each timeframe peaked before the purple line each squeeze day also started on the which is at  and each squeeze had noise around the which is  the time left to do so gives me the  days'
 'here we are a year later amc' 'amc primed for another leg up'
 'amc lets go i have a really good feeling about this week retweet if you agree'
 'morbius does m domestically m globally amc' 'history repeats amc'
 'amc apes  mon morning was the largest criminal action to what was to be an since jan  buy button theft we all initially blame the halt but the illegal attack occurred at  amp didnt stop until  the halt was a mask'
 'all amc apes have been fighting for over hours now pixel by pixel to keep logo in the canvas very proud of em see it here'
 'eat crow mofo amc' 'amc i love all you hodling mf you inspire melfg'
 'amc further proof we are going to gap up monday all pics are indicators from the hr right before we gapped up out of the wedge last pic is now tell me those arent exactly the same'
 'for comparison here is the june run for amc so once wave starts it can go fastlook how wave the volume dried outand even though this was a big violent move it still followed ta principles so it could look something like this but paytience is the way'
 'i do gotta admit if i was looking at a chart like this i would be bearish as hellamc'
 'who would have thought owning a single family home amp having a kid would be unobtainable in america for the vast majority of the population goes to show you that having the same people running the country that have been in office years before we were born is a bad idea amc'
 'amc just when i thought it couldnt get any better our low after each major run goes to the top of the second accumulation after the retracement of the run holy fn sht it even works on other tickers'
 'amc whos ready for monday']","['amc perspective people who remember last run up in june will remember how people used to post pictures showing us on the rise every friday over friday'
 'lately i keep seeing signs everywhere patience tomorrow we ride amc'
 'amc these just get better gamecock for the win'
 'wont need to wait for august amc leaving the russell in june will be the end of the road'
 'amc  this week watch' 'amc my kid ate a crayon todaymoass on monday'
 'amc now apes saw that it was just a pump and dump sad'
 'follow if you arent allready great dd and the talk of compressionextension looks alot like your dd were price goes up and comes down to the same price range amc'
 'amc hopefully we have another crazy monday this week pumped for tomorrow '
 'amc its a domino effect little by little they all will unfold'
 'amc moass shorts going long retail shorts will be the ones who get fukced the hardest warning'
 'amc cum to me daddy'
 'so you continue to pray that your short works out got it amc an empty theatre pic to post'
 'yes for amc' 'awe amc'
 'amc so bullish shorts are cornered no where to go they cant even cover or they would have naked short selling is real hold for moass'
 'me when they tell me to buy amc'
 'should amc close their least profitable theaters and reinvest to a blockbuster app'
 'amc stonks i am ape i hodl'
 'love my twitter fam i believe we will have an amazing week so i hope you all rested up the weekend my main focus will always be amc but hopefully i make some money on other plays so i can add to my amc position have a happy sunday']"
4,$SPY,790,0.5886558441558442,0.487387323943662,Negative,"['fed speakers this weekfomc member kashkari tues am etfomc member brainard tues amfomc member williams tues pmfomc member bullard thurs amfomc member bostic thurs pmfomc member evans thurs pmfomc member williams thurs pmspy'
 'spy price getting rejected by previous high'
 'spy m algos hitting targets on the way up  wave fibextensions of and  the retraces start with a  followed by two ers then double s setting up an extended th wave target for nye'
 'over half a million people have returned to ukraine official spy'
 'spythe daily view doesnt look too bad as we are seeing buyers hold the level and absorbing the sells that enter that areahowever the weekly shows a different story of a failed breakout over the pivotal level which can ultimately lead to the next leg down'
 'true success in trading is consistencyif you can consistently implement the same strategy and take profits those profits can add up to the portfolio of your dreams peep below spy'
 'spy going to be fun this week'
 'your boss gives you options for your paycheck which do you choose in this market cash but pay taxes when received spy must hold years but pay taxes when you sell  must hold years but no taxes when you sellcomment your answer and rationale below'
 'tonights podcast while hitting some chest amp tricepshighly recommend this great podcast fantastic traders amp a must listen if you solely trade spy or are an aspiringpro options trader'
 'new video is out spy dark pools are active again plus some potential chart setups for this week check it out in our new videowatch video'
 'spy strong close and recaptured the d if we hold here very strong market if dont d is the next big level to watch'
 'fomc minutes weds could get very interesting spy'
 'what held spy eod the exact spot where the breakout occurred simple  but effective'
 'okay lets get these charts and lets get my team followers ready to bank this week spy'
 'us feds daly nonvoter dove case for bps rate hike in may has grown im more confident that taking these early adjustments would be appropriate spymore at '
 'ru russian pres putin said to be under pressure to achieve victory in eastern ukraine by russian holiday victory day on may th  cnnspymore at '
 'spy think i misspoke earlier about being bullish next week starting to think we have a little more downside first before more upside'
 'great thread from tldr buy the ever living shit out of spy if its down '
 'wrong wrong wrong  watch spy go april is bullish as fock buckle'
 'spy levels i got going into next week']","['spy pizza and flutes'
 'spy reminds me of childhood memories when everything was asfunish it'
 'spy i like yall dont buy xrpdont smile crack its that simple'
 'i tuned in too late good bye putinjust won at  at santa anita fuk handicapping  hunch playing rocks spy'
 'spy golden state warriors money line  ' 'spy deflation ahead'
 'spy state subsidized tents and crack pipes are very'
 'spy huuuuuuge gap up monday'
 'spy one post says everything is hell and its going down min later  its all chill'
 'spy elon musk is richest south african tslaprove me wrong'
 'true success in trading is consistencyif you can consistently implement the same strategy and take profits those profits can add up to the portfolio of your dreams peep below spy'
 'its spys version of  if we say it enough times it will happen'
 'spy all that you need to know shorts havent covered a single share'
 'spy yhe spelling is the tequilas fault  really' 'spy ripping lol where'
 'spy ok the magicians is cool so far too bad the childhood friend looks like a younger version of kamala harris yuck'
 'spy they will blame inflation and recession on will smith and putin'
 'spy short almost everything but zm' 'spy bears r cursed'
 'i just realized spy is still well above its price one year back n is flat']"
5,$HMHC,1,0.8046666666666665,,Negative,['hmhc data indicates that the overall analyst sentiment for hmhc is bearish simplify the way you research stocks with our free app'],['hmhc data indicates that the overall analyst sentiment for hmhc is bearish simplify the way you research stocks with our free app']
6,$DWAC,46,0.531,0.4611702127659574,Negative,"['lol right look you can believe me or not but i wouldnt put a penny into dwac long based on this launch and im not speaking from my ass ive launched a lot of apps built a lot of software over last years this is a clownshoshocking no funny yes'
 'dwac going to the moon this week' 'dwac maga buyamphold'
 'dwac about to go to the moon this week'
 'ayye dwac about to be screaming'
 'dwac trump eviscerates zuckerbucks involvement with election fraud '
 'russian state tv host says russia must help our partner trump become president again dwac'
 'dwac party is over people reality setting in'
 'i want in on that onlyfans spac on day one i know its gonna move crazy like dwac'
 'we may get a real treat soon dwac incoming anyone know what comes next'
 'dwac while theres much uncertainty in the market theres no uncertainty about this one  its headed to'
 'dwac article on front page of'
 'dwac wow nice promo for on snl didnt think they could afford itthe only app with a smell'
 'just bought more dwac' 'oh my dwac'
 'dwac could start going nuts like gme soon i agree with your analysis'
 'that scam truth social stock is sinking like a boat at a trump parade dwac'
 'dwac good eyes  nice  move out of that setup'
 'what are the kpis to understand if its failing or not im still on a waiting list so to me its a fail dwac stock is way down thats a fail just another failed spac to me'
 'dwac possible hammer on the daily']","['what are the kpis to understand if its failing or not im still on a waiting list so to me its a fail dwac stock is way down thats a fail just another failed spac to me'
 'dwac good eyes  nice  move out of that setup'
 'dwac party is over people reality setting in'
 'looking forward to him being deposed from the corruption of dwacs truth social'
 'the best truth sent since dwac has been started sent by a like myself xqc'
 'ayye dwac about to be screaming' 'oh my dwac'
 'trump caused this trump tried to turn ukraine into a pawn against fair democratic us elections by withholding military aid in a quid pro quo trump protected putin when he put bounties on us soldiers trump embraced every dictator in the worldhe will be in helldwac dies'
 'dwac article on front page of' 'dwac puts'
 'dwac all that you need to know shorts havent covered a single share'
 'russian state tv host says russia must help our partner trump become president again dwac'
 'dwac all that you need to know shorts havent covered a single share'
 'dwac maga buyamphold'
 'nesaragesara is imminent im ready receive d generational wealth amp the moon along w dwac socialyall wake up trump is not d enemy its d swamps known as sleepy joe amp his cronies watch'
 'i want in on that onlyfans spac on day one i know its gonna move crazy like dwac'
 'dwac about to go to the moon this week'
 'ummm dwac zeroi dont think so lets examine the seal of the united state dwac'
 'i tried to sign up for trumps truth social and it ate all my documentsdwac'
 'dwac  trump rally tonight  the crowd of about peoplei find that troubling']"
7,$AMD,115,0.524359375,0.4674509803921568,Negative,"['amd looks like its setting up a triangle i like longs if we can sell to  areashorts if we can pop into  areaexpect more range bound chop to fill out pattern before further downside til bull takes out  peak sell comes to take amd back to sub '
 'amd daily chart'
 'amd monster totaling milliondetails forthcoming on superbowl sunday'
 'amd  alert premium technicals uoa rank uoa activitymassive aka may c bought p sold in block of'
 'more detail on amd'
 'amd perfectly tested the trendline on friday bullish into this week'
 'amd amd tell kitguru why they beat intels hybrid approach interview with robert hallock'
 'amd check out this chart i made with'
 'amd i do see that head and shoulders on the weekly and but it will only be validated if the rest of the market continues its lower highs otherwise patterns can be broken'
 'get free amd token'
 'simply just an insane movetargets been metamda pt sell precisely off of our  level where we expected a breakdown these puts went gt'
 'amd ugly reaction to a dg watching for a hammer reversal candle or see what it does which has been strong support'
 ' pickles options watchlist flow from amd call x enter at put x enter at flow whales '
 'i have seen a lot of people lose or blame an algo for a losing trade you have have have to educate yourself on the broader market and see where money is going before entering there will be days like amd where its invalid and you will have to use good rr to save capital'
 'amd failed weekly supply dating back to november ath breakout daily attempting to catch a bid at demand zone from double bounce support dating back to  flow gtk singleleg showing  of contracts are  but  of all  traded is under '
 'happy sunday can you chart amd when you do'
 'amdhourly chart shows a clear rejection off  resistance and a complete breakdown out of the pattern amd seemed to find support after falling so hard at  massive demand zone at  a clear bounce and sign of reversal  would be my target for a call entry'
 'tomorrow amd ll be a stock i ll watchbroadening formation exhaustion but we ll be in inside weekif we get that rev daily we ll have tfc on the daily and weekly now as a daytrader we need to find our set up intraday'
 'amd is probably my favorite name for this week after a brutal past couple of days puts below  down to calls above '
 'large cap im eager to see what amd does at the and levels  must defend the neckline']","['get free amd token'
 'im always bullish on amd long term but its falling back into consolidation phase  is a buy for me i will defend the neckline'
 'definitely amd much more bearish looking until it breaks its flag lots of support under it thoughgt here is inverse weekly chart'
 'holy shit amd'
 'amd ponytail man on cnbc so all his calls im waiting for '
 'go back to the last earnings amd is one of the best companies and products needed now ta sucks over fa'
 'amd starting with k usd backup to k usd big thanks to this chatroom'
 'trading ideas amd short  free tradeofweek via'
 'top projeto rumo a lua our official amd airdrop is live now'
 'amd anywhere from  should be safe it hit when the market was literally going down the drain'
 'amdinteresting set up heregoing to keep an eye out to play long waiting for a m or h demand retest'
 'amd huuge oi in  c etc little push on the stock price might bring it to gamma squeeze territory watch it'
 'amd  tomorrow morning then rip' 'amd new alert at'
 'top projeto rumo a lua our official amd airdrop is live now'
 'i remember when amd stock was less than '
 'amd looks like its setting up a triangle i like longs if we can sell to  areashorts if we can pop into  areaexpect more range bound chop to fill out pattern before further downside til bull takes out  peak sell comes to take amd back to sub '
 'amd was the th most mentioned on wallstreetbets over the last daysvia'
 'amd waiting for buy signal on amd register for day trial access at '
 'amd really interesting put and call selling to open from friday']"
8,$SST,16,0.5112121212121212,0.4145333333333333,Negative,"['sst with some unusual flowswhats going on here'
 'sst below is the unusual sweepcast activity that i mentioned in my last post'
 'sst borrow cost now over ' 'sst ftds getting out of control'
 'correct the fomo buying and the short covering should hit at the same time and launch sst to   my guess there are  shorts to free float most of them are naked shorts where are they going to find the shares to close their positions'
 'sst daily special situ recent spac list  lots of gamma squeeze talk fwiw on k float confirmation nice vol fri pm'
 'sst d  target' 'sst needs to hold this spot'
 'can you look into sst and chart it next time pretty please' 'sst please'
 'sst probably buy at open' 'sst pretty please' 'for sure sst'
 'sst below is the unusual sweepcast activity that i mentioned in my previuos post'
 'sst is sstier setup'
 'do you think sst is fundamentally overpriced underpriced or fairly priced  forgetting the squeeze altogether']","['can you look into sst and chart it next time pretty please'
 'sst below is the unusual sweepcast activity that i mentioned in my last post'
 'sst d  target' 'sst probably buy at open'
 'sst daily special situ recent spac list  lots of gamma squeeze talk fwiw on k float confirmation nice vol fri pm'
 'sst pretty please' 'sst please' 'sst ftds getting out of control'
 'sst borrow cost now over ' 'sst needs to hold this spot'
 'sst is sstier setup' 'for sure sst'
 'correct the fomo buying and the short covering should hit at the same time and launch sst to   my guess there are  shorts to free float most of them are naked shorts where are they going to find the shares to close their positions'
 'sst with some unusual flowswhats going on here'
 'do you think sst is fundamentally overpriced underpriced or fairly priced  forgetting the squeeze altogether'
 'sst below is the unusual sweepcast activity that i mentioned in my previuos post']"
9,$AAPL,184,0.5399079497907949,0.5931184834123222,Positive,"['i still cant believe how perfectly this aapl rally played out tested weekly demand respected it amp even created new demand inside the weekly demand to indicate strong buying i personally didnt catch onto this move but this was definitely an eye opener'
 'just what the us needs more dependence on china feels like aapl is swimming against the current here'
 'aapl is profiting immensely from cheap labor in china a major reason why it grew to the most valuable company in the world however if there would ever be a serious conflict between the united states and china apple would be in very deep trouble'
 'aapl finally dipped closed back above the d was clear support nice bounce off it aths not far away'
 'aaplfrom our sunday newsletter postupdate to subscribers looking for seller to appear out of our  daily supply zone a  sell in the stock right from our sell zonewhen you use levels you are staying objective and letting price guide you not your bias'
 'aapl failed weekly supply x bouncing off daily demand hr making lower lows amp lower highs  hourly close over for calls hourly close under for puts flow is generally mixed which imo indicates trend continuation'
 'automated hourly aapl sentiment report     product series reviews     general products  company news  social media   utc'
 'aapl following a healthy uptrend when you look at the larger picture i know the market has been rough this year so far but its a nice sign to see a longer uptrend hold potential ihs setup forming would like to see  hold following a pullback  at the lowest to form'
 'not a supply chain expert but i guess it would be a good idea for aapl to spread out its supply chain around more asian countries instead of having that huge dependency on china'
 'aapl is great one dairyland'
 'automated hourly aapl sentiment report     product series reviews     general products  company news  social media   utc'
 'automated hourly aapl sentiment report     product series reviews     general products  company news  social media   utc'
 'automated hourly aapl sentiment report     product series reviews     general products  company news  social media   utc'
 'automated hourly aapl sentiment report     product series reviews     general products  company news  social media   utc'
 'finally close on heels of comes the gala opening of on april fanfare around tsla has now become a  a big for any brand last we saw it was with aapl and prime model ampy  semi and cyber to rollout of'
 'automated hourly aapl sentiment report     product series reviews     general products  company news  social media   utc'
 'automated hourly aapl sentiment report     product series reviews     general products  company news  social media   utc'
 'automated hourly aapl sentiment report     product series reviews     general products  company news  social media   utc'
 'heres how the economics of hardware subscription can boost revenue for apple aapl'
 'automated hourly aapl sentiment report     product series reviews     general products  company news  social media   utc']","['aapl is the th most mentioned symbol todayst nd rd th th'
 'aapl option to look at for monday  call for thursday april   roughly million dollars woah learn more on stockorbit link on profile'
 'aapldaily chart looks incredibly bullish bo from the double bottomfalling wedge into a sustained climb nice pb to the dark pool level as support if it breaks through daily resistance of  then expect to hit tp and tp'
 'aapl best trading info for earn huge profit'
 'already scooped  this year from dropping a few referral links mostly to acorns which was a big payout i need more webull sign ups theyre giving out stocks for one referral in the promo section if you refer three friends you get some aapl also up to '
 'i still cant believe how perfectly this aapl rally played out tested weekly demand respected it amp even created new demand inside the weekly demand to indicate strong buying i personally didnt catch onto this move but this was definitely an eye opener'
 'aapl strong move off of the ema on the daily to run this back up towards the all time highs this name not in play for me unless it gets over '
 ' the iphone  there was speculation that aapl was going to launch a phone as you can see here images on the internet knew absolutely nothing about what steve and jony had planned'
 'aapl strong move off of the ema on the daily to run this back up towards the all time highs this name not in play for me unless it ge'
 'still less than aapl return last sessions'
 'why apple is leaning toward subscription service with a subscription service apple can increase the amount from  to over  and also get the old phone back to sell on the secondary market gurman saidaapl'
 ' here was my earnings model for aapl please feel free to laugh but this was always one of my favorite things to do'
 'aapl is up from  to  for a return of  in pass two years bears'
 'how to enable walking steadiness notifications in ios aapl'
 'first out aapl these were the most searched tickers on benzinga in the first quarter did your favorite stock make the'
 'aapl pulls back just below the doublebottom pivot after straight up days from the bottom of its base it may be working on a handle'
 'aapl down by  currently trading at us'
 'aapl i have had zero credible responses this worries me even more now'
 'aapl is great one dairyland'
 'aapl so long as vix stays below aapl calls for  should be safe consolidated all day on friday']"
